"","PID","location","age_pid","loc","age.PIDr","age_adint","sex.BIO","age.BIO","weight","height_stand","height","part_i","part_ii","part_iii","part_i_pr","part_i_te","part_ii_pr","part_ii_te","part_iii_pr","part_iii_te","knox_PR_I","demo_speed_knox","back_noise_knox","beads_PR_I","uncover_time_error_beads","skip_cor_beads","back_noise_beads","cmb_schl.Psurv","cmb_grade.Psurv","cmb_howoft.Psurv","10a_schl_go_often_other","yrs_school","age_yr","sex","AGE","HEIGHT","height2","HTKS_all","HTKS_i_ii","knox_total","beads_total","age_yr2","edu_exposure","bmi","knox_total_z","beads_total_z","HTKS_all_c","HTKS_i_ii_c","age_yr_c","yrs_school_c","bmi_c"
"40","PWBJ","Brazil",9.9,"cbm",,,"m",9,32,,"136",20,18,7,6,"10",5,"10",7,"10","1","0","1","1","0","0","0","y","4 ano","Everyday that is open",,6,9.9,"m",9,136,136,45,38,7,2,9.9,6,17.3010380622837,0.0665469340933605,-0.517789766479994,-4.86915887850467,2.22429906542056,-0.77196261682243,-0.261682242990654,0.430762127129285
"41","QJ8B","Brazil",10,"cbm",,,"f",10,32.6,,"144",19,19,10,6,"11",5,"10",6,"10","1","0","2","1","0","0",,"y","4 ano","Everyday that is open",,7,10,"f",10,144,144,48,38,8,3,10,6,15.721450617284,0.42257303149284,-0.0948622472940447,-1.86915887850467,2.22429906542056,-0.67196261682243,-0.261682242990654,-1.1488253178705
"42","YT2B","Brazil",10.3,"cbm",,,"f",10,49,,"138",20,19,13,6,"10",5,"10",6,"10","1","0","0","1","1","1","0","y","4 ano","Everyday that is open",,7,10.3,"f",10,138,138,52,39,1,0,10.3,6,25.729888678849,-2.06960965030352,-1.36364480485189,2.13084112149533,3.22429906542056,-0.371962616822429,-0.261682242990654,8.85961274369453
"43","RDMB","Brazil",10.4,"cbm",,,"f",10,39.7,,"162",19,20,14,6,"10",5,"10",6,"10","1","1","0","1","0","1","0","y","3 ano","Everyday that is open",,8,10.4,"f",10,162,162,53,39,4,1,10.4,5,15.1272671848804,-1.00153135810508,-0.940717285665943,3.13084112149533,3.22429906542056,-0.27196261682243,-1.26168224299065,-1.7430087502741
"44","WYFC","Brazil",10.4,"cbm",,,"f",10,56.2,,"145",16,19,19,6,"10",5,"10",6,"10","1","0","1","1","0","0","0","y","5 ano","Everyday that is open",,,10.4,"f",10,145,145,54,35,6,4,10.4,7,26.7300832342449,-0.289479163306119,0.328065271891905,4.13084112149533,-0.77570093457944,-0.27196261682243,0.738317757009346,9.85980729909049
"45","VPER","Brazil",10.6,"cbm",,,"f",10,33,,"141",20,19,20,6,"10",5,"10",6,"10","1",,,"1",,,,"y","5 ano","Everyday that is open",,6.5,10.6,"f",10,141,141,59,39,5,8,10.6,7,16.5987626376943,-0.645505260705599,2.0197753486357,9.13084112149533,3.22429906542056,-0.0719626168224305,0.738317757009346,-0.271513297460171
"46","J2KR","Brazil",10.7,"cbm",,,"m",10,32.6,,"140",20,20,20,6,"10",6,"10",6,"10","1","1","2","1","0","0","1","y","5 ano","Everyday that is open",,9,10.7,"m",10,140,140,60,40,9,3,10.7,7,16.6326530612245,0.77859912889232,-0.0948622472940447,10.1308411214953,4.22429906542056,0.0280373831775691,0.738317757009346,-0.237622873929961
"47","LNCK","Brazil",10.7,"cbm",,,"m",10,34.2,,"153",18,18,18,6,"10",5,"10",6,"10","1","0","1","1","0","0","1","y","5 ano","Everyday that is open",,10,10.7,"m",10,153,153,54,36,8,3,10.7,7,14.6097654748174,0.42257303149284,-0.0948622472940447,4.13084112149533,0.22429906542056,0.0280373831775691,0.738317757009346,-2.26051046033708
"48","RT3P","Brazil",10.9,"cbm",,,"m",10,34.5,,"141",19,19,17,6,"10",5,"10",6,"10","1","0","1","1","0","0","0","y","5 ano","Everyday that is open",,4,10.9,"m",10,141,141,55,38,7,9,10.9,7,17.3532518484986,0.0665469340933605,2.44270286782165,5.13084112149533,2.22429906542056,0.22803738317757,0.738317757009346,0.482975913344113
"49","E3RQ","Brazil",11,"cbm",,,"m",11,58.5,,"154",19,18,17,6,"10",5,"10",6,"10","1","0","1","1","0","0","0","y","5 ano","Everyday that is open",,5,11,"m",11,154,154,54,37,5,5,11,7,24.6668915500084,-0.645505260705599,0.750992791077854,4.13084112149533,1.22429906542056,0.32803738317757,0.738317757009346,7.79661561485398
